val/loss,val/acc,val/acc_best,epoch,step,train/loss,train/acc
0.30884207115657086,0.9086363911628723,0.9086363911628723,0,206,,
,,,0,206,0.3130905516265671,0.9056060314178467
0.31528507216253143,0.9086363911628723,0.9086363911628723,1,413,,
,,,1,413,0.30699001837539786,0.9098485112190247
0.30675325186356256,0.9086363911628723,0.9086363911628723,2,620,,
,,,2,620,0.3050133461933493,0.9098485112190247
0.30743924517562427,0.9086363911628723,0.9086363911628723,3,827,,
,,,3,827,0.30626417354541124,0.9098485112190247
